tournament,round,game_id,team,status,opponent,result,pf,pa,tossups,negs,bhrd,bpts,PPB,packet
ACF Nationals 2019,6,20190615,Maryland A,NA,Rutgers,W,365,40,15,1,15,220,14.67,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190615,Rutgers,NA,Maryland A,L,40,365,3,4,3,30,10,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190616,Central Florida,UG,Johns Hopkins,L,70,335,4,0,4,30,7.5,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190616,Johns Hopkins,NA,Central Florida,W,335,70,14,1,14,200,14.29,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190617,Chicago B,NA,Oxford A,L,175,245,8,1,8,100,12.5,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190617,Oxford A,NA,Chicago B,W,245,175,11,1,11,140,12.73,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190618,Minnesota B,D2,New College of Florida,W,285,35,13,1,13,160,12.31,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190618,New College of Florida,NA,Minnesota B,L,35,285,2,1,2,20,10,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190619,Delaware,UG,Stanford B,W,275,60,12,1,12,160,13.33,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190619,Stanford B,D2,Delaware,L,60,275,3,2,3,40,13.33,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190620,Michigan State,UG,Penn State,W,220,125,11,4,11,130,11.82,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190620,Penn State,NA,Michigan State,L,125,220,6,3,6,80,13.33,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190621,Chicago A,NA,McGill,W,290,175,11,4,11,200,18.18,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190621,McGill,NA,Chicago A,L,175,290,7,3,7,120,17.14,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190622,Gettysburg,UG,Iowa,W,110,105,6,2,6,60,10,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190622,Iowa,UG,Gettysburg,L,105,110,7,3,7,50,7.14,Minn-A / Harvard-A/B
ACF Nationals 2019,7,20190701,Columbia A,NA,Penn A,W,260,185,10,2,10,170,17,Florida-A / Michigan St
ACF Nationals 2019,7,20190701,Penn A,NA,Columbia A,L,185,260,7,3,7,130,18.57,Florida-A / Michigan St
ACF Nationals 2019,7,20190702,Oklahoma,NA,UCLA,L,190,200,9,0,9,100,11.11,Florida-A / Michigan St
ACF Nationals 2019,7,20190702,UCLA,UG,Oklahoma,W,200,190,9,4,9,130,14.44,Florida-A / Michigan St
ACF Nationals 2019,7,20190703,Harvard B,D2,MIT A,W,170,150,10,2,10,80,8,Florida-A / Michigan St
ACF Nationals 2019,7,20190703,MIT A,UG,Harvard B,L,150,170,7,2,7,90,12.86,Florida-A / Michigan St
ACF Nationals 2019,7,20190704,Florida B,UG,Texas,L,80,225,5,4,5,50,10,Florida-A / Michigan St
ACF Nationals 2019,7,20190704,Texas,NA,Florida B,W,225,80,12,5,12,130,10.83,Florida-A / Michigan St
ACF Nationals 2019,7,20190705,Harvard A,UG,Michigan A,W,250,120,11,0,11,140,12.73,Florida-A / Michigan St
ACF Nationals 2019,7,20190705,Michigan A,UG,Harvard A,L,120,250,5,0,5,70,14,Florida-A / Michigan St
ACF Nationals 2019,7,20190706,Stanford A,NA,Yale B,W,350,25,14,0,14,210,15,Florida-A / Michigan St
ACF Nationals 2019,7,20190706,Yale B,UG,Stanford A,L,25,350,2,1,2,10,5,Florida-A / Michigan St
ACF Nationals 2019,7,20190707,McGill,NA,Stanford B,W,285,120,11,1,11,180,16.36,Florida-A / Michigan St
ACF Nationals 2019,7,20190707,Stanford B,D2,McGill,L,120,285,6,0,6,60,10,Florida-A / Michigan St
ACF Nationals 2019,7,20190708,Johns Hopkins,NA,Wright State,W,180,135,9,4,9,110,12.22,Florida-A / Michigan St
ACF Nationals 2019,7,20190708,Wright State,NA,Johns Hopkins,L,135,180,6,1,6,80,13.33,Florida-A / Michigan St
ACF Nationals 2019,7,20190709,Berkeley B,NA,Rutgers,W,245,135,11,3,11,150,13.64,Florida-A / Michigan St
ACF Nationals 2019,7,20190709,Rutgers,NA,Berkeley B,L,135,245,8,3,8,70,8.75,Florida-A / Michigan St
ACF Nationals 2019,7,20190710,Delaware,UG,Minnesota B,W,155,110,7,1,7,90,12.86,Florida-A / Michigan St
ACF Nationals 2019,7,20190710,Minnesota B,D2,Delaware,L,110,155,7,2,7,50,7.14,Florida-A / Michigan St
ACF Nationals 2019,7,20190711,Gettysburg,UG,Penn State,L,85,165,6,1,6,30,5,Florida-A / Michigan St
ACF Nationals 2019,7,20190711,Penn State,NA,Gettysburg,W,165,85,9,1,9,80,8.89,Florida-A / Michigan St
ACF Nationals 2019,7,20190712,Illinois A,UG,Iowa,W,270,35,12,2,12,160,13.33,Florida-A / Michigan St
ACF Nationals 2019,7,20190712,Iowa,UG,Illinois A,L,35,270,3,1,3,10,3.33,Florida-A / Michigan St
ACF Nationals 2019,7,20190713,Chicago C,NA,NYU,W,285,100,11,1,11,180,16.36,Florida-A / Michigan St
ACF Nationals 2019,7,20190713,NYU,UG,Chicago C,L,100,285,5,2,5,60,12,Florida-A / Michigan St
ACF Nationals 2019,7,20190714,Auburn,UG,Toronto A,L,60,325,4,0,4,20,5,Florida-A / Michigan St
ACF Nationals 2019,7,20190714,Toronto A,NA,Auburn,W,325,60,12,1,12,210,17.5,Florida-A / Michigan St
ACF Nationals 2019,7,20190715,Illinois B,D2,Maryland B,L,125,245,7,1,7,60,8.57,Florida-A / Michigan St
ACF Nationals 2019,7,20190715,Maryland B,UG,Illinois B,W,245,125,11,3,11,150,13.64,Florida-A / Michigan St
ACF Nationals 2019,7,20190716,Caltech A,D2,Yale A,L,20,330,1,0,1,10,10,Florida-A / Michigan St
ACF Nationals 2019,7,20190716,Yale A,NA,Caltech A,W,330,20,14,4,14,210,15,Florida-A / Michigan St
ACF Nationals 2019,7,20190717,Ohio State,NA,Virginia A,W,305,215,11,3,11,210,19.09,Florida-A / Michigan St
ACF Nationals 2019,7,20190717,Virginia A,NA,Ohio State,L,215,305,8,3,8,150,18.75,Florida-A / Michigan St
