tournament,round,game_id,team,status,opponent,result,pf,pa,tossups,negs,bhrd,bpts,PPB,packet
ACF Nationals 2015,6,20150610,Harvard A,UG,Liberty,W,390,50,16,0,16,230,14.38,Michigan and Toronto
ACF Nationals 2015,6,20150610,Liberty,UG,Harvard A,L,50,390,3,0,3,20,6.67,Michigan and Toronto
ACF Nationals 2015,6,20150611,Columbia A,NA,Michigan B,W,405,50,16,1,16,250,15.62,Michigan and Toronto
ACF Nationals 2015,6,20150611,Michigan B,UG,Columbia A,L,50,405,2,0,2,30,15,Michigan and Toronto
ACF Nationals 2015,6,20150612,Chicago C,D2,WUSTL,L,60,295,4,0,4,20,5,Michigan and Toronto
ACF Nationals 2015,6,20150612,WUSTL,NA,Chicago C,W,295,60,11,3,11,200,18.18,Michigan and Toronto
ACF Nationals 2015,6,20150613,Carleton U,UG,UCSD A,L,80,465,4,0,4,40,10,Michigan and Toronto
ACF Nationals 2015,6,20150613,UCSD A,NA,Carleton U,W,465,80,16,3,16,320,20,Michigan and Toronto
ACF Nationals 2015,6,20150614,Waterloo A,UG,Yale A,L,60,320,4,2,4,30,7.5,Michigan and Toronto
ACF Nationals 2015,6,20150614,Yale A,UG,Waterloo A,W,320,60,13,2,13,200,15.38,Michigan and Toronto
ACF Nationals 2015,6,20150615,Illinois A,UG,Washington,W,255,150,11,1,11,150,13.64,Michigan and Toronto
ACF Nationals 2015,6,20150615,Washington,NA,Illinois A,L,150,255,7,2,7,90,12.86,Michigan and Toronto
ACF Nationals 2015,6,20150616,Oxford A,UG,UCLA,W,345,10,14,1,14,210,15,Michigan and Toronto
ACF Nationals 2015,6,20150616,UCLA,UG,Oxford A,L,10,345,1,2,1,10,10,Michigan and Toronto
ACF Nationals 2015,6,20150617,MIT A,NA,Notre Dame B,W,360,15,13,0,13,230,17.69,Michigan and Toronto
ACF Nationals 2015,6,20150617,Notre Dame B,D2,MIT A,L,15,360,1,1,1,10,10,Michigan and Toronto
ACF Nationals 2015,6,20150618,Kenyon,UG,Ottawa,W,105,75,7,1,7,40,5.71,Michigan and Toronto
ACF Nationals 2015,6,20150618,Ottawa,NA,Kenyon,L,75,105,6,3,6,30,5,Michigan and Toronto
ACF Nationals 2015,6,20150619,Chicago A,NA,Rutgers,W,485,60,17,1,17,320,18.82,Michigan and Toronto
ACF Nationals 2015,6,20150619,Rutgers,NA,Chicago A,L,60,485,3,0,3,30,10,Michigan and Toronto
ACF Nationals 2015,6,20150620,NYU,NA,Stanford B,L,175,255,7,3,7,120,17.14,Michigan and Toronto
ACF Nationals 2015,6,20150620,Stanford B,UG,NYU,W,255,175,11,1,11,150,13.64,Michigan and Toronto
ACF Nationals 2015,6,20150621,MIT B,D2,Notre Dame A,L,125,165,6,3,6,80,13.33,Michigan and Toronto
ACF Nationals 2015,6,20150621,Notre Dame A,UG,MIT B,W,165,125,9,1,9,80,8.89,Michigan and Toronto
ACF Nationals 2015,6,20150622,McMaster,NA,Northwestern,L,95,245,4,1,4,60,15,Michigan and Toronto
ACF Nationals 2015,6,20150622,Northwestern,D2,McMaster,W,245,95,11,1,11,140,12.73,Michigan and Toronto
ACF Nationals 2015,7,20150701,Chicago A,NA,Notre Dame A,W,335,80,12,3,12,230,19.17,Stanford B and Columbia
ACF Nationals 2015,7,20150701,Notre Dame A,UG,Chicago A,L,80,335,4,0,4,40,10,Stanford B and Columbia
ACF Nationals 2015,7,20150702,MIT A,NA,Oxford A,W,245,150,9,3,9,170,18.89,Stanford B and Columbia
ACF Nationals 2015,7,20150702,Oxford A,UG,MIT A,L,150,245,7,2,7,90,12.86,Stanford B and Columbia
ACF Nationals 2015,7,20150703,Berkeley B,NA,Ottawa,W,190,35,10,2,10,100,10,Stanford B and Columbia
ACF Nationals 2015,7,20150703,Ottawa,NA,Berkeley B,L,35,190,4,3,4,10,2.5,Stanford B and Columbia
ACF Nationals 2015,7,20150704,Penn A,NA,WUSTL,W,315,190,11,3,11,220,20,Stanford B and Columbia
ACF Nationals 2015,7,20150704,WUSTL,NA,Penn A,L,190,315,8,0,8,110,13.75,Stanford B and Columbia
ACF Nationals 2015,7,20150705,Minnesota A,NA,RIT,W,225,15,10,1,10,130,13,Stanford B and Columbia
ACF Nationals 2015,7,20150705,RIT,UG,Minnesota A,L,15,225,1,1,1,10,10,Stanford B and Columbia
ACF Nationals 2015,7,20150706,McGill,NA,Michigan B,W,170,60,9,2,9,90,10,Stanford B and Columbia
ACF Nationals 2015,7,20150706,Michigan B,UG,McGill,L,60,170,4,0,4,20,5,Stanford B and Columbia
ACF Nationals 2015,7,20150707,Liberty,UG,UCSD B,W,135,60,6,1,6,80,13.33,Stanford B and Columbia
ACF Nationals 2015,7,20150707,UCSD B,UG,Liberty,L,60,135,4,0,4,20,5,Stanford B and Columbia
ACF Nationals 2015,7,20150708,Central Florida,UG,Maryland A,L,-5,520,0,1,0,0,NaN,Stanford B and Columbia
ACF Nationals 2015,7,20150708,Maryland A,NA,Central Florida,W,520,-5,18,2,18,350,19.44,Stanford B and Columbia
ACF Nationals 2015,7,20150709,Alberta,NA,MIT B,W,255,170,10,3,10,170,17,Stanford B and Columbia
ACF Nationals 2015,7,20150709,MIT B,D2,Alberta,L,170,255,7,0,7,100,14.29,Stanford B and Columbia
ACF Nationals 2015,7,20150710,Michigan A,NA,Penn B,W,315,35,14,3,14,190,13.57,Stanford B and Columbia
ACF Nationals 2015,7,20150710,Penn B,UG,Michigan A,L,35,315,3,3,3,20,6.67,Stanford B and Columbia
ACF Nationals 2015,7,20150711,Chicago B,UG,Stanford A,L,70,380,4,2,4,40,10,Stanford B and Columbia
ACF Nationals 2015,7,20150711,Stanford A,NA,Chicago B,W,380,70,14,2,14,250,17.86,Stanford B and Columbia
ACF Nationals 2015,7,20150712,Virginia A,NA,Yale A,W,395,125,12,1,12,280,23.33,Stanford B and Columbia
ACF Nationals 2015,7,20150712,Yale A,UG,Virginia A,L,125,395,6,3,6,80,13.33,Stanford B and Columbia
ACF Nationals 2015,7,20150713,Carleton U,UG,Chicago C,W,45,40,3,1,3,20,6.67,Stanford B and Columbia
ACF Nationals 2015,7,20150713,Chicago C,D2,Carleton U,L,40,45,3,2,3,20,6.67,Stanford B and Columbia
ACF Nationals 2015,7,20150714,Illinois A,UG,William and Mary,W,245,90,12,1,12,130,10.83,Stanford B and Columbia
ACF Nationals 2015,7,20150714,William and Mary,NA,Illinois A,L,90,245,4,2,4,60,15,Stanford B and Columbia
ACF Nationals 2015,7,20150715,Penn C,D2,South Carolina,L,60,80,4,2,4,30,7.5,Stanford B and Columbia
ACF Nationals 2015,7,20150715,South Carolina,UG,Penn C,W,80,60,6,0,6,20,3.33,Stanford B and Columbia
ACF Nationals 2015,7,20150716,Notre Dame B,D2,Waterloo A,L,50,160,3,0,3,20,6.67,Stanford B and Columbia
ACF Nationals 2015,7,20150716,Waterloo A,UG,Notre Dame B,W,160,50,9,6,9,100,11.11,Stanford B and Columbia
ACF Nationals 2015,7,20150717,Kenyon,UG,UCSD A,L,40,400,2,0,2,20,10,Stanford B and Columbia
ACF Nationals 2015,7,20150717,UCSD A,NA,Kenyon,W,400,40,14,4,14,280,20,Stanford B and Columbia
ACF Nationals 2015,7,20150718,UCLA,UG,Washington,L,95,155,5,1,5,50,10,Stanford B and Columbia
ACF Nationals 2015,7,20150718,Washington,NA,UCLA,W,155,95,8,5,8,100,12.5,Stanford B and Columbia
ACF Nationals 2015,7,20150719,Northwestern,D2,Rutgers,W,200,100,10,2,10,110,11,Stanford B and Columbia
ACF Nationals 2015,7,20150719,Rutgers,NA,Northwestern,L,100,200,6,4,6,60,10,Stanford B and Columbia
ACF Nationals 2015,7,20150720,Berkeley A,UG,Harvard A,W,260,190,11,2,11,160,14.55,Stanford B and Columbia
ACF Nationals 2015,7,20150720,Harvard A,UG,Berkeley A,L,190,260,8,2,8,120,15,Stanford B and Columbia
ACF Nationals 2015,7,20150721,NYU,NA,VCU A,W,255,25,12,3,12,150,12.5,Stanford B and Columbia
ACF Nationals 2015,7,20150721,VCU A,UG,NYU,L,25,255,2,1,2,10,5,Stanford B and Columbia
ACF Nationals 2015,7,20150722,McMaster,NA,Rice,W,135,60,8,3,8,70,8.75,Stanford B and Columbia
ACF Nationals 2015,7,20150722,Rice,UG,McMaster,L,60,135,3,2,3,40,13.33,Stanford B and Columbia
ACF Nationals 2015,8,20150801,Carleton U,UG,Penn A,L,10,405,1,0,1,0,0,Maryland and NYU
ACF Nationals 2015,8,20150801,Penn A,NA,Carleton U,W,405,10,14,3,14,280,20,Maryland and NYU
ACF Nationals 2015,8,20150802,Oxford A,UG,Waterloo A,W,280,55,12,2,12,170,14.17,Maryland and NYU
ACF Nationals 2015,8,20150802,Waterloo A,UG,Oxford A,L,55,280,4,1,4,20,5,Maryland and NYU
ACF Nationals 2015,8,20150803,MIT A,NA,Yale A,W,220,205,9,0,9,130,14.44,Maryland and NYU
ACF Nationals 2015,8,20150803,Yale A,UG,MIT A,L,205,220,8,3,8,140,17.5,Maryland and NYU
ACF Nationals 2015,8,20150804,Alberta,NA,Chicago A,L,25,475,1,1,1,20,20,Maryland and NYU
ACF Nationals 2015,8,20150804,Chicago A,NA,Alberta,W,475,25,17,1,17,310,18.24,Maryland and NYU
ACF Nationals 2015,8,20150805,Liberty,UG,Ohio State,L,60,90,5,2,5,20,4,Maryland and NYU
ACF Nationals 2015,8,20150805,Ohio State,D2,Liberty,W,90,60,7,2,7,30,4.29,Maryland and NYU
ACF Nationals 2015,8,20150806,McMaster,NA,Penn B,W,210,65,11,0,11,100,9.09,Maryland and NYU
ACF Nationals 2015,8,20150806,Penn B,UG,McMaster,L,65,210,4,1,4,30,7.5,Maryland and NYU
ACF Nationals 2015,8,20150807,Northwestern,D2,RIT,W,265,15,14,1,14,130,9.29,Maryland and NYU
ACF Nationals 2015,8,20150807,RIT,UG,Northwestern,L,15,265,2,1,2,0,0,Maryland and NYU
ACF Nationals 2015,8,20150808,Berkeley A,UG,Columbia A,L,115,245,5,1,5,70,14,Maryland and NYU
ACF Nationals 2015,8,20150808,Columbia A,NA,Berkeley A,W,245,115,10,1,10,150,15,Maryland and NYU
ACF Nationals 2015,8,20150809,Chicago B,UG,Harvard A,L,135,330,6,1,6,80,13.33,Maryland and NYU
ACF Nationals 2015,8,20150809,Harvard A,UG,Chicago B,W,330,135,12,2,12,220,18.33,Maryland and NYU
ACF Nationals 2015,8,20150810,Kenyon,UG,Stanford B,L,100,225,5,0,5,50,10,Maryland and NYU
ACF Nationals 2015,8,20150810,Stanford B,UG,Kenyon,W,225,100,11,1,11,120,10.91,Maryland and NYU
ACF Nationals 2015,8,20150811,Columbia A,NA,Liberty,W,440,60,16,0,16,280,17.5,Maryland and NYU
ACF Nationals 2015,8,20150811,Liberty,UG,Columbia A,L,60,440,3,0,3,30,10,Maryland and NYU
ACF Nationals 2015,8,20150812,Michigan A,NA,Rice,W,340,75,12,2,12,230,19.17,Maryland and NYU
ACF Nationals 2015,8,20150812,Rice,UG,Michigan A,L,75,340,4,1,4,40,10,Maryland and NYU
ACF Nationals 2015,8,20150813,McGill,NA,UCSD B,W,200,20,10,2,10,110,11,Maryland and NYU
ACF Nationals 2015,8,20150813,UCSD B,UG,McGill,L,20,200,2,2,2,10,5,Maryland and NYU
ACF Nationals 2015,8,20150814,MIT B,D2,Rutgers,L,85,180,6,3,6,40,6.67,Maryland and NYU
ACF Nationals 2015,8,20150814,Rutgers,NA,MIT B,W,180,85,9,2,9,100,11.11,Maryland and NYU
ACF Nationals 2015,8,20150815,Minnesota A,NA,Notre Dame A,W,215,150,9,3,9,140,15.56,Maryland and NYU
ACF Nationals 2015,8,20150815,Notre Dame A,UG,Minnesota A,L,150,215,8,2,8,80,10,Maryland and NYU
ACF Nationals 2015,8,20150816,Illinois A,UG,South Carolina,W,315,15,14,1,14,180,12.86,Maryland and NYU
ACF Nationals 2015,8,20150816,South Carolina,UG,Illinois A,L,15,315,1,1,1,10,10,Maryland and NYU
ACF Nationals 2015,8,20150817,UCSD A,NA,WUSTL,W,275,200,10,1,10,180,18,Maryland and NYU
ACF Nationals 2015,8,20150817,WUSTL,NA,UCSD A,L,200,275,8,0,8,120,15,Maryland and NYU
ACF Nationals 2015,8,20150818,UCLA,UG,Virginia A,L,25,480,1,1,1,20,20,Maryland and NYU
ACF Nationals 2015,8,20150818,Virginia A,NA,UCLA,W,480,25,18,2,18,310,17.22,Maryland and NYU
ACF Nationals 2015,8,20150819,Berkeley B,NA,Detroit Catholic Central,W,140,105,8,2,8,70,8.75,Maryland and NYU
ACF Nationals 2015,8,20150819,Detroit Catholic Central,UG,Berkeley B,L,105,140,5,1,5,60,12,Maryland and NYU
ACF Nationals 2015,8,20150820,Penn C,D2,William and Mary,L,65,145,4,1,4,30,7.5,Maryland and NYU
ACF Nationals 2015,8,20150820,William and Mary,NA,Penn C,W,145,65,7,5,7,100,14.29,Maryland and NYU
ACF Nationals 2015,8,20150821,Chicago C,D2,Ottawa,L,30,180,3,2,3,10,3.33,Maryland and NYU
ACF Nationals 2015,8,20150821,Ottawa,NA,Chicago C,W,180,30,11,0,11,70,6.36,Maryland and NYU
ACF Nationals 2015,8,20150822,Notre Dame B,D2,Washington,L,15,315,2,1,2,0,0,Maryland and NYU
ACF Nationals 2015,8,20150822,Washington,NA,Notre Dame B,W,315,15,13,1,13,190,14.62,Maryland and NYU
ACF Nationals 2015,8,20150823,Michigan B,UG,Stanford A,L,10,385,1,0,1,0,0,Maryland and NYU
ACF Nationals 2015,8,20150823,Stanford A,NA,Michigan B,W,385,10,14,3,14,260,18.57,Maryland and NYU
ACF Nationals 2015,9,20150901,Berkeley A,UG,Maryland A,L,175,330,8,1,8,100,12.5,McGill and WUStL
ACF Nationals 2015,9,20150901,Maryland A,NA,Berkeley A,W,330,175,12,2,12,220,18.33,McGill and WUStL
ACF Nationals 2015,9,20150902,Illinois A,UG,UCLA,L,125,230,7,5,7,80,11.43,McGill and WUStL
ACF Nationals 2015,9,20150902,UCLA,UG,Illinois A,W,230,125,10,0,10,130,13,McGill and WUStL
ACF Nationals 2015,9,20150903,Washington,NA,Yale A,L,145,290,7,5,7,100,14.29,McGill and WUStL
ACF Nationals 2015,9,20150903,Yale A,UG,Washington,W,290,145,12,4,12,190,15.83,McGill and WUStL
ACF Nationals 2015,9,20150904,Berkeley B,NA,NYU,W,185,165,8,1,8,110,13.75,McGill and WUStL
ACF Nationals 2015,9,20150904,NYU,NA,Berkeley B,L,165,185,10,3,10,80,8,McGill and WUStL
ACF Nationals 2015,9,20150905,Rice,UG,RIT,W,155,60,9,1,9,70,7.78,McGill and WUStL
ACF Nationals 2015,9,20150905,RIT,UG,Rice,L,60,155,4,0,4,20,5,McGill and WUStL
ACF Nationals 2015,9,20150906,Ohio State,D2,UCSD B,W,180,45,10,2,10,90,9,McGill and WUStL
ACF Nationals 2015,9,20150906,UCSD B,UG,Ohio State,L,45,180,3,1,3,20,6.67,McGill and WUStL
ACF Nationals 2015,9,20150907,Harvard A,UG,Stanford A,L,225,265,8,0,8,145,18.12,McGill and WUStL
ACF Nationals 2015,9,20150907,Stanford A,NA,Harvard A,W,265,225,11,3,11,170,15.45,McGill and WUStL
ACF Nationals 2015,9,20150908,Stanford B,UG,UCSD A,L,110,335,6,0,6,50,8.33,McGill and WUStL
ACF Nationals 2015,9,20150908,UCSD A,NA,Stanford B,W,335,110,13,1,13,210,16.15,McGill and WUStL
ACF Nationals 2015,9,20150909,Chicago C,D2,VCU A,L,40,110,3,2,3,20,6.67,McGill and WUStL
ACF Nationals 2015,9,20150909,VCU A,UG,Chicago C,W,110,40,6,2,6,60,10,McGill and WUStL
ACF Nationals 2015,9,20150910,Minnesota A,NA,Rutgers,W,225,80,12,3,12,120,10,McGill and WUStL
ACF Nationals 2015,9,20150910,Rutgers,NA,Minnesota A,L,80,225,4,4,4,60,15,McGill and WUStL
ACF Nationals 2015,9,20150911,MIT A,NA,South Carolina,W,365,25,15,3,15,230,15.33,McGill and WUStL
ACF Nationals 2015,9,20150911,South Carolina,UG,MIT A,L,25,365,2,1,2,10,5,McGill and WUStL
ACF Nationals 2015,9,20150912,Penn C,D2,Waterloo A,W,135,85,9,1,9,50,5.56,McGill and WUStL
ACF Nationals 2015,9,20150912,Waterloo A,UG,Penn C,L,85,135,6,3,6,40,6.67,McGill and WUStL
ACF Nationals 2015,9,20150913,Detroit Catholic Central,UG,Kenyon,W,175,105,9,3,9,100,11.11,McGill and WUStL
ACF Nationals 2015,9,20150913,Kenyon,UG,Detroit Catholic Central,L,105,175,6,1,6,50,8.33,McGill and WUStL
ACF Nationals 2015,9,20150914,Oxford A,UG,Virginia A,L,210,320,10,0,10,110,11,McGill and WUStL
ACF Nationals 2015,9,20150914,Virginia A,NA,Oxford A,W,320,210,10,0,10,220,22,McGill and WUStL
ACF Nationals 2015,9,20150915,Notre Dame B,D2,William and Mary,L,50,130,4,2,4,20,5,McGill and WUStL
ACF Nationals 2015,9,20150915,William and Mary,NA,Notre Dame B,W,130,50,8,4,8,70,8.75,McGill and WUStL
ACF Nationals 2015,9,20150916,Carleton U,UG,Ottawa,L,20,165,2,0,2,0,0,McGill and WUStL
ACF Nationals 2015,9,20150916,Ottawa,NA,Carleton U,W,165,20,8,1,8,90,11.25,McGill and WUStL
ACF Nationals 2015,9,20150917,McMaster,NA,Notre Dame A,W,200,60,11,2,11,100,9.09,McGill and WUStL
ACF Nationals 2015,9,20150917,Notre Dame A,UG,McMaster,L,60,200,4,2,4,30,7.5,McGill and WUStL
ACF Nationals 2015,9,20150918,Alberta,NA,Northwestern,W,315,125,13,3,13,200,15.38,McGill and WUStL
ACF Nationals 2015,9,20150918,Northwestern,D2,Alberta,L,125,315,6,1,6,70,11.67,McGill and WUStL
ACF Nationals 2015,9,20150919,Michigan A,NA,MIT B,W,275,240,10,3,10,190,19,McGill and WUStL
ACF Nationals 2015,9,20150919,MIT B,D2,Michigan A,L,240,275,10,0,10,140,14,McGill and WUStL
ACF Nationals 2015,9,20150920,Central Florida,UG,Chicago B,L,115,215,7,1,7,50,7.14,McGill and WUStL
ACF Nationals 2015,9,20150920,Chicago B,UG,Central Florida,W,215,115,10,5,10,140,14,McGill and WUStL
ACF Nationals 2015,9,20150921,Chicago A,NA,Penn B,W,415,15,17,1,17,250,14.71,McGill and WUStL
ACF Nationals 2015,9,20150921,Penn B,UG,Chicago A,L,15,415,1,3,1,20,20,McGill and WUStL
ACF Nationals 2015,10,20151001,NYU,NA,WUSTL,L,160,270,8,2,8,90,11.25,Stanford A
ACF Nationals 2015,10,20151001,WUSTL,NA,NYU,W,270,160,10,0,10,170,17,Stanford A
ACF Nationals 2015,10,20151002,MIT B,D2,Rice,W,170,145,7,4,7,120,17.14,Stanford A
ACF Nationals 2015,10,20151002,Rice,UG,MIT B,L,145,170,6,1,6,90,15,Stanford A
ACF Nationals 2015,10,20151003,Alberta,NA,McMaster,W,185,95,9,5,9,120,13.33,Stanford A
ACF Nationals 2015,10,20151003,McMaster,NA,Alberta,L,95,185,5,3,5,60,12,Stanford A
ACF Nationals 2015,10,20151004,Michigan B,UG,UCSD B,L,40,110,3,2,3,20,6.67,Stanford A
ACF Nationals 2015,10,20151004,UCSD B,UG,Michigan B,W,110,40,7,0,7,40,5.71,Stanford A
ACF Nationals 2015,10,20151005,Harvard A,UG,Maryland A,L,95,420,5,3,5,60,12,Stanford A
ACF Nationals 2015,10,20151005,Maryland A,NA,Harvard A,W,420,95,14,0,14,280,20,Stanford A
ACF Nationals 2015,10,20151006,Liberty,UG,McGill,L,30,190,2,2,2,20,10,Stanford A
ACF Nationals 2015,10,20151006,McGill,NA,Liberty,W,190,30,10,0,10,90,9,Stanford A
ACF Nationals 2015,10,20151007,Michigan A,NA,Northwestern,W,400,90,13,2,13,280,21.54,Stanford A
ACF Nationals 2015,10,20151007,Northwestern,D2,Michigan A,L,90,400,4,2,4,60,15,Stanford A
ACF Nationals 2015,10,20151008,Notre Dame B,D2,Yale A,L,15,425,1,1,1,10,10,Stanford A
ACF Nationals 2015,10,20151008,Yale A,UG,Notre Dame B,W,425,15,15,3,15,290,19.33,Stanford A
ACF Nationals 2015,10,20151009,NYU,NA,Ottawa,W,190,100,9,4,9,120,13.33,Stanford A
ACF Nationals 2015,10,20151009,Ottawa,NA,NYU,L,100,190,4,2,4,70,17.5,Stanford A
ACF Nationals 2015,10,20151010,Berkeley B,NA,Stanford B,L,110,250,5,2,5,70,14,Stanford A
ACF Nationals 2015,10,20151010,Stanford B,UG,Berkeley B,W,250,110,9,2,9,170,18.89,Stanford A
ACF Nationals 2015,10,20151011,Berkeley A,UG,Ohio State,W,355,25,13,1,13,230,17.69,Stanford A
ACF Nationals 2015,10,20151011,Ohio State,D2,Berkeley A,L,25,355,2,3,2,20,10,Stanford A
ACF Nationals 2015,10,20151012,South Carolina,UG,Virginia A,L,30,410,2,0,2,10,5,Stanford A
ACF Nationals 2015,10,20151012,Virginia A,NA,South Carolina,W,410,30,14,6,14,300,21.43,Stanford A
ACF Nationals 2015,10,20151013,UCLA,UG,Waterloo A,W,170,35,9,2,9,90,10,Stanford A
ACF Nationals 2015,10,20151013,Waterloo A,UG,UCLA,L,35,170,4,3,4,10,2.5,Stanford A
ACF Nationals 2015,10,20151014,Detroit Catholic Central,UG,VCU A,W,235,25,11,1,11,130,11.82,Stanford A
ACF Nationals 2015,10,20151014,VCU A,UG,Detroit Catholic Central,L,25,235,2,3,2,20,10,Stanford A
ACF Nationals 2015,10,20151015,Oxford A,UG,William and Mary,W,295,165,10,1,10,200,20,Stanford A
ACF Nationals 2015,10,20151015,William and Mary,NA,Oxford A,L,165,295,7,1,7,100,14.29,Stanford A
ACF Nationals 2015,10,20151016,Penn A,NA,UCSD A,W,370,190,12,2,12,260,21.67,Stanford A
ACF Nationals 2015,10,20151016,UCSD A,NA,Penn A,L,190,370,7,4,7,140,20,Stanford A
ACF Nationals 2015,10,20151017,Notre Dame A,UG,Rutgers,W,115,90,6,5,6,80,13.33,Stanford A
ACF Nationals 2015,10,20151017,Rutgers,NA,Notre Dame A,L,90,115,5,2,5,50,10,Stanford A
ACF Nationals 2015,10,20151018,Minnesota A,NA,Penn B,W,280,125,11,4,11,190,17.27,Stanford A
ACF Nationals 2015,10,20151018,Penn B,UG,Minnesota A,L,125,280,7,3,7,70,10,Stanford A
ACF Nationals 2015,10,20151019,Chicago A,NA,RIT,W,410,30,15,4,15,280,18.67,Stanford A
ACF Nationals 2015,10,20151019,RIT,UG,Chicago A,L,30,410,2,0,2,10,5,Stanford A
ACF Nationals 2015,10,20151020,Central Florida,UG,Columbia A,L,40,355,3,2,3,20,6.67,Stanford A
ACF Nationals 2015,10,20151020,Columbia A,NA,Central Florida,W,355,40,15,3,15,220,14.67,Stanford A
ACF Nationals 2015,10,20151021,Penn C,D2,Washington,L,60,120,5,2,5,20,4,Stanford A
ACF Nationals 2015,10,20151021,Washington,NA,Penn C,W,120,60,5,6,5,100,20,Stanford A
ACF Nationals 2015,10,20151022,Illinois A,UG,MIT A,L,205,235,9,3,9,130,14.44,Stanford A
ACF Nationals 2015,10,20151022,MIT A,NA,Illinois A,W,235,205,9,1,9,150,16.67,Stanford A
ACF Nationals 2015,10,20151023,Kenyon,UG,WUSTL,L,75,280,4,3,4,50,12.5,Stanford A
ACF Nationals 2015,10,20151023,WUSTL,NA,Kenyon,W,280,75,12,4,12,180,15,Stanford A
ACF Nationals 2015,11,20151101,Central Florida,UG,Michigan B,W,135,70,9,3,9,60,6.67,Ottawa and Harvard
ACF Nationals 2015,11,20151101,Michigan B,UG,Central Florida,L,70,135,4,0,4,30,7.5,Ottawa and Harvard
ACF Nationals 2015,11,20151102,Waterloo A,UG,William and Mary,L,110,260,5,2,5,70,14,Ottawa and Harvard
ACF Nationals 2015,11,20151102,William and Mary,NA,Waterloo A,W,260,110,12,0,12,140,11.67,Ottawa and Harvard
ACF Nationals 2015,11,20151103,MIT A,NA,Penn C,W,350,75,14,2,14,220,15.71,Ottawa and Harvard
ACF Nationals 2015,11,20151103,Penn C,D2,MIT A,L,75,350,4,1,4,40,10,Ottawa and Harvard
ACF Nationals 2015,11,20151104,Detroit Catholic Central,UG,Stanford B,L,85,255,4,1,4,50,12.5,Ottawa and Harvard
ACF Nationals 2015,11,20151104,Stanford B,UG,Detroit Catholic Central,W,255,85,11,3,11,160,14.55,Ottawa and Harvard
ACF Nationals 2015,11,20151105,Liberty,UG,Stanford A,L,35,415,2,1,2,20,10,Ottawa and Harvard
ACF Nationals 2015,11,20151105,Stanford A,NA,Liberty,W,415,35,16,3,16,270,16.88,Ottawa and Harvard
ACF Nationals 2015,11,20151106,Alberta,NA,Michigan A,L,210,305,9,2,9,130,14.44,Ottawa and Harvard
ACF Nationals 2015,11,20151106,Michigan A,NA,Alberta,W,305,210,11,1,11,200,18.18,Ottawa and Harvard
ACF Nationals 2015,11,20151107,Maryland A,NA,McGill,W,430,65,16,2,16,280,17.5,Ottawa and Harvard
ACF Nationals 2015,11,20151107,McGill,NA,Maryland A,L,65,430,4,1,4,30,7.5,Ottawa and Harvard
ACF Nationals 2015,11,20151108,MIT B,D2,Penn B,W,225,160,10,1,10,130,13,Ottawa and Harvard
ACF Nationals 2015,11,20151108,Penn B,UG,MIT B,L,160,225,7,2,7,100,14.29,Ottawa and Harvard
ACF Nationals 2015,11,20151109,Notre Dame A,UG,Rice,W,195,90,7,1,7,130,18.57,Ottawa and Harvard
ACF Nationals 2015,11,20151109,Rice,UG,Notre Dame A,L,90,195,6,2,6,40,6.67,Ottawa and Harvard
ACF Nationals 2015,11,20151110,RIT,UG,Rutgers,L,15,250,1,1,1,10,10,Ottawa and Harvard
ACF Nationals 2015,11,20151110,Rutgers,NA,RIT,W,250,15,14,2,14,120,8.57,Ottawa and Harvard
ACF Nationals 2015,11,20151111,Chicago B,UG,UCSD B,W,240,65,12,4,12,140,11.67,Ottawa and Harvard
ACF Nationals 2015,11,20151111,UCSD B,UG,Chicago B,L,65,240,4,1,4,30,7.5,Ottawa and Harvard
ACF Nationals 2015,11,20151112,Chicago C,D2,UCSD A,L,5,520,1,1,1,0,0,Ottawa and Harvard
ACF Nationals 2015,11,20151112,UCSD A,NA,Chicago C,W,520,5,18,2,18,350,19.44,Ottawa and Harvard
ACF Nationals 2015,11,20151113,Illinois A,UG,Notre Dame B,W,250,60,12,4,12,150,12.5,Ottawa and Harvard
ACF Nationals 2015,11,20151113,Notre Dame B,D2,Illinois A,L,60,250,3,0,3,30,10,Ottawa and Harvard
ACF Nationals 2015,11,20151114,Oxford A,UG,South Carolina,W,265,15,13,3,13,150,11.54,Ottawa and Harvard
ACF Nationals 2015,11,20151114,South Carolina,UG,Oxford A,L,15,265,2,1,2,0,0,Ottawa and Harvard
ACF Nationals 2015,11,20151115,Virginia A,NA,Washington,W,505,10,17,1,17,340,20,Ottawa and Harvard
ACF Nationals 2015,11,20151115,Washington,NA,Virginia A,L,10,505,2,2,2,0,0,Ottawa and Harvard
ACF Nationals 2015,11,20151116,UCLA,UG,Yale A,L,30,380,1,0,1,20,20,Ottawa and Harvard
ACF Nationals 2015,11,20151116,Yale A,UG,UCLA,W,380,30,14,2,14,250,17.86,Ottawa and Harvard
ACF Nationals 2015,11,20151117,Carleton U,UG,Kenyon,L,20,135,2,0,2,0,0,Ottawa and Harvard
ACF Nationals 2015,11,20151117,Kenyon,UG,Carleton U,W,135,20,7,1,7,70,10,Ottawa and Harvard
ACF Nationals 2015,11,20151118,Minnesota A,NA,Northwestern,W,165,160,9,5,9,100,11.11,Ottawa and Harvard
ACF Nationals 2015,11,20151118,Northwestern,D2,Minnesota A,L,160,165,8,2,8,90,11.25,Ottawa and Harvard
